,age,campaign,previous,target,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,education_basic.6y,education_basic.9y,education_high.school,education_illiterate,education_professional.course,education_university.degree,marital_modified_married,marital_modified_single,loan_mod_yes
0,49,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,37,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,78,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4,59,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6,26,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
7,30,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
10,44,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11,32,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
12,26,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
13,43,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
14,56,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
15,40,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
16,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,47,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
18,50,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
19,34,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
20,46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
21,39,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,41,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,30,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
24,55,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
25,33,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,46,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
27,38,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
28,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
29,30,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
30,34,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
31,63,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,46,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,44,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
34,55,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
35,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
36,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
37,33,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
38,34,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
39,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
40,39,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
41,30,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
42,41,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
43,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
44,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
45,48,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
46,36,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
47,46,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
48,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
49,36,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
50,53,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
51,56,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
52,48,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
53,35,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
54,50,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
55,32,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
56,37,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
57,56,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
58,35,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
59,51,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,51,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
61,44,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
62,36,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
63,36,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
64,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
65,30,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
66,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
67,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
68,71,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
69,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
70,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
71,58,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
72,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
73,39,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
74,39,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
75,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
76,45,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
77,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
78,49,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
79,48,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
80,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
81,49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82,33,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
83,35,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
84,33,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
85,36,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
87,30,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
88,77,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
90,48,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,44,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
92,50,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
93,49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
94,28,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
95,50,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
97,48,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
98,32,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
99,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
100,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
101,55,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,45,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
103,52,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
104,32,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
105,38,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
106,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
107,29,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
108,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
109,80,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110,57,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
111,37,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
113,43,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
114,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
115,41,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
